Sex,Length,Diameter,Height,Whole,Shucked,Viscera,Shell,Rings,Maturity_Level,Random_Index,Biological_Variation
I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7,mature,25,1.15457
F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7,mature,38,0.49676
I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6,mature,80,-2.36143
F,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9,mature,57,1.01771
I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8,mature,94,0.8421
M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7,mature,37,0.19898
M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10,mature,61,0.74369
F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10,mature,33,0.20684
M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7,mature,83,1.26853
F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8,mature,78,-1.3153
M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8,mature,29,1.31151
M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8,mature,82,0.28013
I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4,young,17,-1.00922
F,0.505,0.4,0.125,0.583,0.246,0.13,0.175,7,mature,8,1.5757
M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,mature,24,-0.4656
M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9,mature,44,-1.23422
F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10,mature,26,0.09755
M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7,mature,84,-0.23316
M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8,mature,68,-0.80026
M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8,mature,54,1.31501
F,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12,aged,53,-1.18108
F,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13,aged,41,0.61887
F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10,mature,96,0.23252
I,0.52282,0.235,0.13925,0.82543,0.063,0.0405,0.045,6,mature,26,-0.40681
M,0.52282,0.425,0.13925,0.82543,0.264,0.168,0.275,13,aged,70,-1.64769
F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8,mature,28,0.00189
M,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11,aged,30,0.22819
F,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13,aged,10,-1.06907
F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15,aged,90,-0.84481
M,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9,mature,35,-2.08952
F,0.6,0.47,0.15,0.922,0.363,0.194,0.305,10,mature,51,0.45775
F,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,11,aged,25,-0.25619
F,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14,aged,93,0.66618
F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9,mature,81,1.67128
M,0.58,0.45,0.14,1.013,0.38,0.216,0.36,14,aged,29,-0.1284
F,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,12,aged,63,0.2087
M,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13,aged,47,0.09978
M,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10,mature,61,-0.54461
F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9,mature,77,-0.30236
F,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12,aged,18,-1.42379
M,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15,aged,20,0.03539
M,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12,aged,27,1.08018
M,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13,aged,45,1.64189
F,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10,mature,28,0.55669
M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15,aged,82,0.20687
M,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14,aged,18,-0.34289
M,0.52282,0.435,0.13925,0.82543,0.269,0.1385,0.25,9,mature,18,0.14388
M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8,mature,58,-0.34266
M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7,mature,44,-2.09786
F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10,mature,32,-0.19217
I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7,mature,1,0.14307
M,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15,aged,90,-0.87043
M,0.53,0.435,0.16,0.883,0.316,0.164,0.335,15,aged,18,1.84698
M,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10,mature,87,-0.39989
M,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12,aged,92,-0.04866
F,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,12,aged,46,-0.40345
F,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11,aged,15,1.15009
F,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10,mature,33,0.12587
F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9,mature,7,-0.37754
F,0.52282,0.395,0.13925,0.82543,0.136,0.098,0.13,9,mature,21,-0.37505
M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9,mature,32,1.08
M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9,mature,28,-1.02621
I,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9,mature,17,-1.28817
M,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9,mature,93,1.08282
F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11,aged,14,1.40857
F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11,aged,55,-0.36937
F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11,aged,70,-0.06951
M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10,mature,75,0.50381
F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9,mature,22,0.78272
M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8,mature,85,-0.54332
F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9,mature,66,-0.67404
I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7,mature,60,0.29916
F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14,aged,45,-0.08493
M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6,mature,99,1.33494
I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6,mature,25,-0.27562
I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5,mature,62,0.9877
I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6,mature,97,1.67327
I,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,8,mature,60,1.03448
F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9,mature,29,0.02229
F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7,mature,84,-1.63598
I,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7,mature,7,-0.17514
I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7,mature,26,1.16763
F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8,mature,39,0.20369
F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7,mature,90,1.04072
M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9,mature,81,0.17479
F,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9,mature,92,-1.53998
F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10,mature,21,-0.76742
F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10,mature,7,-0.80735
M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11,aged,10,1.66588
M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10,mature,54,-1.20089
F,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10,mature,36,-0.63805
M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10,mature,86,0.12142
I,0.28,0.205,0.08,0.127,0.052,0.039,0.042,9,mature,33,1.64302
M,0.52282,0.475,0.13925,0.82543,0.4415,0.262,0.325,15,aged,97,0.42585
F,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9,mature,47,-1.58269
F,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10,mature,40,-0.19898
F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10,mature,48,0.80163
F,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,12,aged,24,0.81982
M,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10,mature,65,1.35285
F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13,aged,49,1.06482
F,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13,aged,21,1.40474
F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13,aged,58,-0.56329
M,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13,aged,90,0.04796
F,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,13,aged,38,-0.76955
M,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12,aged,53,-0.31228
F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12,aged,92,1.05347
F,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7,mature,89,-2.09687
M,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8,mature,44,-0.93313
F,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8,mature,12,-0.99576
I,0.52282,0.26,0.13925,0.82543,0.0645,0.037,0.075,7,mature,73,0.26887
I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5,mature,74,-0.1512
I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8,mature,72,1.06498
M,0.52282,0.475,0.13925,0.82543,0.385,0.2165,0.35,11,aged,27,-0.56132
M,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14,aged,79,-0.41547
F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10,mature,26,1.78773
F,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10,mature,79,0.33636
F,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,12,aged,83,0.8519
M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13,aged,75,-1.51146
F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12,aged,63,0.64238
F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10,mature,65,0.19774
F,0.52282,0.48,0.13925,0.82543,0.5265,0.335,0.315,11,aged,95,1.57638
F,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,9,mature,28,0.15053
M,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13,aged,69,0.26741
M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12,aged,82,-1.72718
M,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14,aged,78,1.60344
I,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8,mature,18,0.19529
F,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10,mature,94,1.70525
M,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12,aged,20,0.03774
F,0.52282,0.41,0.13925,0.82543,0.285,0.145,0.21,11,aged,85,1.77424
M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15,aged,15,-0.67771
M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10,mature,3,-0.52882
F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9,mature,6,-1.0591
M,0.5,0.4,0.165,0.825,0.254,0.205,0.285,13,aged,38,-1.64943
F,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12,aged,96,-0.75369
F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13,aged,24,-1.05369
M,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8,mature,66,0.21361
F,0.52282,0.34,0.13925,0.82543,0.186,0.1085,0.16,9,mature,57,0.41407
I,0.4,0.3,0.11,0.315,0.109,0.067,0.12,9,mature,12,-0.979
I,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,8,mature,54,-0.23995
F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13,aged,64,1.70932
I,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,7,mature,43,1.81754
F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10,mature,78,1.01458
M,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,7,mature,77,-1.31698
F,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12,aged,50,-1.01615
M,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9,mature,29,-1.2879
F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14,aged,31,0.31357
M,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10,mature,54,0.78918
M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8,mature,71,-0.79665
I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7,mature,16,-0.33052
M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10,mature,46,1.22618
F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8,mature,96,1.89668
F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9,mature,73,-0.9601
F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11,aged,82,-0.37566
F,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,9,mature,51,-0.76471
F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11,aged,88,-0.45034
I,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10,mature,70,1.84668
F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9,mature,58,0.3691
F,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,7,mature,82,-0.87733
I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7,mature,89,-0.03048
F,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11,aged,46,0.8064
F,0.53,0.415,0.16,0.783,0.2935,0.158,0.245,15,aged,73,0.34826
M,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13,aged,35,0.81425
M,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14,aged,70,-0.53972
I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7,mature,30,-0.98571
I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12,aged,11,1.04955
I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9,mature,71,-0.38995
I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5,mature,1,-0.24505
I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8,mature,92,0.84849
I,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8,mature,75,0.61739
I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,10,mature,43,1.87241
I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13,aged,14,-0.50517
I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9,mature,73,0.01167
I,0.305,0.245,0.075,0.156,0.0675,0.038,0.045,7,mature,97,-1.4363
I,0.345,0.27,0.11,0.2135,0.082,0.0545,0.07,7,mature,75,1.63014
I,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7,mature,42,0.02342
M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13,aged,53,-0.4811
F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12,aged,53,-0.37876
F,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,15,aged,97,-1.34028
M,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,15,aged,23,1.17714
M,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,15,aged,98,0.16554
M,0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,10,mature,69,0.42462
F,0.635,0.505,0.17,1.415,0.605,0.297,0.365,15,aged,1,1.1598
F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13,aged,15,0.37126
F,0.54,0.475,0.155,0.928,0.394,0.194,0.26,11,aged,28,1.34051
F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12,aged,49,0.26462
M,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,11,aged,35,0.57654
I,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,4,young,71,0.39825
M,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,6,mature,10,-0.36602
F,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,11,aged,49,1.41258
M,0.52,0.45,0.15,0.895,0.3615,0.186,0.235,14,aged,61,-0.54502
M,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8,mature,92,1.15405
M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9,mature,36,0.81297
F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13,aged,80,-2.22018
M,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,14,aged,11,-0.34091
M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15,aged,84,-2.3184
M,0.63,0.515,0.155,1.259,0.4105,0.197,0.41,13,aged,83,-0.73724
F,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12,aged,42,-0.91646
F,0.515,0.425,0.135,0.712,0.2665,0.1605,0.25,11,aged,96,-0.08253
F,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15,aged,31,-0.31554
I,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,7,mature,89,-0.2316
F,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9,mature,4,1.44705
M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14,aged,21,-0.66718
M,0.515,0.38,0.175,0.9565,0.325,0.158,0.31,14,aged,95,-0.17312
F,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,10,mature,79,-0.6974
M,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10,mature,42,0.836
M,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,9,mature,6,0.398
F,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24,10,mature,10,-0.09427
F,0.565,0.505,0.21,1.2765,0.501,0.279,0.355,12,aged,3,0.77559
M,0.61,0.475,0.165,1.116,0.428,0.2205,0.315,15,aged,49,-1.13473
I,0.295,0.215,0.085,0.128,0.049,0.034,0.04,6,mature,79,-0.02786
I,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,6,mature,68,0.85139
I,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,4,young,66,-2.20285
M,0.52282,0.395,0.13925,0.82543,0.2215,0.1275,0.15,11,aged,72,-0.82997
M,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,9,mature,73,-0.86009
F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9,mature,97,-0.53147
F,0.54,0.435,0.175,0.892,0.322,0.174,0.335,13,aged,79,-0.47925
M,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,8,mature,60,-0.57382
M,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,6,mature,58,1.5719
F,0.47,0.36,0.13,0.472,0.182,0.114,0.15,10,mature,74,0.08359
M,0.645,0.515,0.24,1.5415,0.471,0.369,0.535,13,aged,77,1.90932
M,0.52282,0.41,0.13925,0.82543,0.2505,0.1635,0.195,14,aged,32,-0.71827
M,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10,mature,43,0.69904
M,0.56,0.44,0.14,0.971,0.443,0.2045,0.265,14,aged,99,0.25374
I,0.45,0.355,0.11,0.4585,0.194,0.067,0.14,8,mature,42,0.87585
F,0.635,0.535,0.19,1.242,0.576,0.2475,0.39,14,aged,45,0.26225
M,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,10,mature,45,-0.29899
I,0.33,0.255,0.095,0.172,0.066,0.0255,0.06,6,mature,76,-0.30226
I,0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,5,mature,20,-1.36073
M,0.385,0.31,0.1,0.2845,0.1065,0.075,0.1,11,aged,41,1.07365
M,0.335,0.265,0.105,0.222,0.0935,0.056,0.075,7,mature,25,0.52599
I,0.355,0.275,0.09,0.251,0.097,0.053,0.08,7,mature,67,-0.96689
I,0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,7,mature,3,-0.99756
M,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,12,aged,99,-0.75976
M,0.36,0.295,0.105,0.241,0.0865,0.053,0.095,8,mature,30,0.0553
I,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09,8,mature,21,-0.03726
M,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,12,aged,6,-1.52508
F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,8,mature,96,1.61153
I,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,5,mature,6,0.29598
M,0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,11,aged,28,-0.86393
M,0.6,0.475,0.19,1.0875,0.403,0.2655,0.325,14,aged,56,0.91544
M,0.62,0.475,0.185,1.325,0.6045,0.325,0.33,13,aged,31,0.35593
F,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,15,aged,85,-1.21963
M,0.575,0.455,0.145,1.165,0.581,0.2275,0.3,14,aged,86,2.12707
F,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,14,aged,16,0.94913
M,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,12,aged,8,0.13995
F,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,12,aged,36,1.80665
F,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,8,mature,30,-0.76839
M,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,13,aged,47,-0.54955
F,0.525,0.42,0.16,0.756,0.2745,0.173,0.275,9,mature,76,-0.49427
I,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,6,mature,67,-1.9026
I,0.375,0.305,0.115,0.2715,0.092,0.074,0.09,8,mature,31,0.50125
M,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,14,aged,14,0.33741
F,0.61,0.495,0.185,1.153,0.536,0.2905,0.245,8,mature,39,1.65687
M,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,12,aged,50,-0.40195
M,0.58,0.455,0.17,0.93,0.408,0.259,0.22,9,mature,56,0.67568
M,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13,aged,80,2.58905
F,0.59,0.465,0.15,0.997,0.392,0.246,0.34,12,aged,47,-1.13276
F,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,12,aged,4,0.06183
M,0.52282,0.465,0.13925,0.82543,0.4405,0.1655,0.265,11,aged,73,-0.33957
F,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,10,mature,5,-0.57167
M,0.63,0.49,0.18,1.13,0.458,0.2765,0.315,12,aged,13,-1.11448
F,0.7,0.575,0.17,1.31,0.5095,0.314,0.42,14,aged,7,-0.72297
M,0.685,0.52,0.15,1.343,0.4635,0.292,0.4,13,aged,32,1.04745
M,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,11,aged,93,0.63856
F,0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,10,mature,58,1.26744
M,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,15,aged,63,-1.60532
F,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33,12,aged,37,-0.728
M,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15,aged,14,0.83313
M,0.535,0.42,0.145,0.791,0.33,0.189,0.25,10,mature,50,-0.11604
M,0.485,0.4,0.135,0.663,0.313,0.137,0.2,10,mature,78,1.06924
M,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12,aged,26,-0.37988
M,0.545,0.425,0.135,0.8445,0.373,0.21,0.235,10,mature,72,-0.39371
F,0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,9,mature,21,1.43633
M,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,12,aged,25,1.18518
M,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10,mature,36,0.91424
M,0.49,0.42,0.125,0.609,0.239,0.1435,0.22,14,aged,33,0.24402
I,0.465,0.375,0.12,0.471,0.222,0.119,0.14,9,mature,81,0.15153
I,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105,10,mature,29,0.66445
M,0.475,0.375,0.125,0.593,0.277,0.115,0.18,10,mature,15,-0.49736
